"Jurisdiction","Current date","Outdated coding in days ALL (avg.)","Outdated coding in days C, E, H (avg.)","Outdated coding in days C, H (avg.)","Missing days ALL (avg.)","Missing days C, E, H (avg.)","Missing days C, H (avg.)","Flagged_days_total","Pctg_flagged_days_total","Confirmed_days_total","Pctg_confirmed_days_total","C1: School closing","C2: Workplace closing","C3: Cancel public events","C4: Restrictions on gatherings","C5: Close public transport","C6: Stay at home requirements","C7: Restrictions on internal movement","C8: International travel controls","E1: Income support","E2: Debt/contract relief","H1: Public information campaigns","H2: Testing policy","H3: Contact tracing","H6: Facial Coverings","H7: Vaccination policy","H8: Protection of elderly people","V1: Vaccine prioritisation","V2: Vaccine availability","V3: Vaccine financial support","V4: Mandatory vaccination"
"Tocantins",2022-12-31,37.5,31,30.8571428571429,37.55,31.0625,30.9285714285714,75.5,0.33826164874552,4281.66666666667,19.1830943847073,2022-12-15,2022-11-29,2022-11-29,2022-11-29,2022-11-29,2022-11-29,2022-11-29,2022-11-29,2022-11-29,2022-11-29,2022-11-29,2022-11-29,2022-11-29,2022-11-29,2022-11-29,2022-11-29,2022-10-18,2022-11-01,2022-11-01,2022-11-01
"Acre",2022-12-31,44.4,25,25,44.45,25.0625,25.0714285714286,2.33333333333333,0.0104540023894863,4366,19.5609318996416,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-08-31,2022-08-31,2022-08-31,2022-08-31
"Rio de Janeiro",2022-12-31,40.85,25,25,40.9,25.0625,25.0714285714286,2,0.00896057347670251,5428.33333333333,24.3204898446834,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-07-25,2022-10-06,2022-10-06,2022-10-06
"Sao Paulo",2022-12-31,49.65,25,25,49.7,25.0625,25.0714285714286,12,0.0537634408602151,8446.5,37.8427419354839,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-07-26,2022-08-08,2022-08-08,2022-08-08
"Bahia",2022-12-31,49.8,24,24,49.85,24.0625,24.0714285714286,9.5,0.0425627240143369,5719.33333333333,25.6242532855436,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-07-31,2022-07-31,2022-07-31,2022-07-31
"Sergipe",2022-12-31,18,22.5,22.2857142857143,18.05,22.5625,22.3571428571429,8,0.03584229390681,3413,15.2912186379928,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-07,2022-12-31,2022-12-07,2022-12-31,2022-12-31,2022-12-31,2022-12-31
"Parana",2022-12-31,36.3,16.875,16.7142857142857,39.9,16.9375,16.7857142857143,69.3333333333333,0.31063321385902,7156,32.0609318996416,2022-12-13,2022-12-13,2022-12-13,2022-12-13,2022-12-13,2022-12-13,2022-12-13,2022-12-13,2022-12-13,2022-12-13,2022-12-13,2022-12-13,2022-12-13,2022-12-13,2022-12-31,2022-12-13,2021-10-01,2022-12-31,2022-12-31,2022-12-31
"National Government",2022-12-31,0,0,0,30.15,2.1875,2.5,6,0.0268817204301075,10191,45.6586021505376,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31
"Alagoas",2022-12-31,10.95,0,0,11,0.0625,0.0714285714285714,177.666666666667,0.79599761051374,2908.66666666667,13.031660692951,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-10-11,2022-11-15,2022-11-15,2022-11-15
"Amazonas",2022-12-31,19,0,0,19.05,0.0625,0.0714285714285714,5,0.0224014336917563,5350.33333333333,23.971027479092,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-09-27,2022-09-27,2022-09-27,2022-09-27
