"","CountryCode","CountryName","Date","community_understanding","manage_imported_cases","cases_controlled","test_and_trace","endemic_factor","openness_risk"
"1","ABW","Aruba","2020-01-01",0,0,NA,0,NA,1
"2","ABW","Aruba","2020-01-02",0,0,NA,0,NA,1
"3","ABW","Aruba","2020-01-03",0,0,NA,0,NA,1
"4","ABW","Aruba","2020-01-04",0,0,NA,0,NA,1
"5","ABW","Aruba","2020-01-05",0,0,NA,0,NA,1
"6","ABW","Aruba","2020-01-06",0,0,NA,0,NA,1
"7","ABW","Aruba","2020-01-07",0,0,NA,0,NA,1
"8","ABW","Aruba","2020-01-08",0,0,NA,0,NA,1
"9","ABW","Aruba","2020-01-09",0,0,NA,0,NA,1
"10","ABW","Aruba","2020-01-10",0,0,NA,0,NA,1
"11","ABW","Aruba","2020-01-11",0,0,NA,0,NA,1
"12","ABW","Aruba","2020-01-12",0,0,NA,0,NA,1
"13","ABW","Aruba","2020-01-13",0,0,NA,0,NA,1
"14","ABW","Aruba","2020-01-14",0,0,NA,0,NA,1
"15","ABW","Aruba","2020-01-15",0,0,NA,0,NA,1
"16","ABW","Aruba","2020-01-16",0,0,NA,0,NA,1
"17","ABW","Aruba","2020-01-17",0,0,NA,0,NA,1
"18","ABW","Aruba","2020-01-18",0,0,NA,0,NA,1
"19","ABW","Aruba","2020-01-19",0,0,NA,0,NA,1
"20","ABW","Aruba","2020-01-20",0,0,NA,0,NA,1
"21","ABW","Aruba","2020-01-21",0,0,NA,0,NA,1
"22","ABW","Aruba","2020-01-22",0,0,NA,0,NA,1
"23","ABW","Aruba","2020-01-23",0,0,NA,0,NA,1
"24","ABW","Aruba","2020-01-24",0,0,NA,0,NA,1
"25","ABW","Aruba","2020-01-25",0,0,NA,0,NA,1
"26","ABW","Aruba","2020-01-26",0,0,NA,0,NA,1
"27","ABW","Aruba","2020-01-27",0,0,NA,0,NA,1
"28","ABW","Aruba","2020-01-28",0,0,NA,0,NA,1
"29","ABW","Aruba","2020-01-29",0,0,NA,0,NA,1
"30","ABW","Aruba","2020-01-30",0,0,NA,0,NA,1
"31","ABW","Aruba","2020-01-31",0,0,NA,0,NA,1
"32","ABW","Aruba","2020-02-01",0,0,NA,0,NA,1
"33","ABW","Aruba","2020-02-02",0,0,NA,0,NA,1
"34","ABW","Aruba","2020-02-03",0,0,NA,0,NA,1
"35","ABW","Aruba","2020-02-04",0,0,NA,0,NA,1
"36","ABW","Aruba","2020-02-05",0,0,NA,0,NA,1
"37","ABW","Aruba","2020-02-06",0,0,NA,0,NA,1
"38","ABW","Aruba","2020-02-07",0,0,NA,0,NA,1
"39","ABW","Aruba","2020-02-08",0,0,NA,0,NA,1
"40","ABW","Aruba","2020-02-09",0,0,NA,0,NA,1
"41","ABW","Aruba","2020-02-10",0,0,NA,0,NA,1
"42","ABW","Aruba","2020-02-11",0,0,NA,0,NA,1
"43","ABW","Aruba","2020-02-12",0,0,NA,0,NA,1
"44","ABW","Aruba","2020-02-13",0,0,NA,0,NA,1
"45","ABW","Aruba","2020-02-14",0,0,NA,0,NA,1
"46","ABW","Aruba","2020-02-15",0,0,NA,0,NA,1
"47","ABW","Aruba","2020-02-16",0,0,NA,0,NA,1
"48","ABW","Aruba","2020-02-17",0,0,NA,0,NA,1
"49","ABW","Aruba","2020-02-18",0,0,NA,0,NA,1
"50","ABW","Aruba","2020-02-19",0,0,NA,0,NA,1
"51","ABW","Aruba","2020-02-20",0,0,NA,0,NA,1
"52","ABW","Aruba","2020-02-21",0,0,NA,0,NA,1
"53","ABW","Aruba","2020-02-22",0,0,NA,0,NA,1
"54","ABW","Aruba","2020-02-23",0,0,NA,0,NA,1
"55","ABW","Aruba","2020-02-24",0,0,NA,0,NA,1
"56","ABW","Aruba","2020-02-25",0,0,NA,0,NA,1
"57","ABW","Aruba","2020-02-26",0,0,NA,0,NA,1
"58","ABW","Aruba","2020-02-27",0,0,NA,0,NA,1
"59","ABW","Aruba","2020-02-28",0,0,NA,0,NA,1
"60","ABW","Aruba","2020-02-29",0,0,NA,0,NA,1
"61","ABW","Aruba","2020-03-01",0,0,NA,0,NA,1
"62","ABW","Aruba","2020-03-02",0,0,NA,0,NA,1
"63","ABW","Aruba","2020-03-03",0,0,NA,0,NA,1
"64","ABW","Aruba","2020-03-04",0,0,NA,0,NA,1
"65","ABW","Aruba","2020-03-05",0,0,NA,0,NA,1
"66","ABW","Aruba","2020-03-06",0,0,NA,0,NA,1
"67","ABW","Aruba","2020-03-07",0,0,NA,0,NA,1
"68","ABW","Aruba","2020-03-08",0,0,NA,0,NA,1
"69","ABW","Aruba","2020-03-09",0,0,NA,0,NA,1
"70","ABW","Aruba","2020-03-10",0,0,NA,0.125,NA,0.958333333333333
"71","ABW","Aruba","2020-03-11",0,0,NA,0.125,NA,0.958333333333333
"72","ABW","Aruba","2020-03-12",0,0,NA,0.125,NA,0.958333333333333
"73","ABW","Aruba","2020-03-13",0,0,NA,0.125,NA,0.958333333333333
"74","ABW","Aruba","2020-03-14",0,0,1,0.125,0,0.71875
"75","ABW","Aruba","2020-03-15",0,0,1,0.125,0,0.71875
"76","ABW","Aruba","2020-03-16",0,0,1,0.125,0,0.71875
"77","ABW","Aruba","2020-03-17",0,1,1,0.125,0,0.46875
"78","ABW","Aruba","2020-03-18",0.796904761904762,1,1,0.125,0,0.269523809523809
"79","ABW","Aruba","2020-03-19",0.827142857142857,1,1,0.208333333333333,0,0.241130952380952
"80","ABW","Aruba","2020-03-20",0.843504761904762,1,0.96,0.208333333333333,0,0.247040476190476
"81","ABW","Aruba","2020-03-21",0.865952380952381,1,1,0.208333333333333,0,0.231428571428571
"82","ABW","Aruba","2020-03-22",0.865952380952381,1,1,0.208333333333333,0,0.231428571428571
"83","ABW","Aruba","2020-03-23",0.871428571428572,1,1,0.208333333333333,0,0.230059523809524
"84","ABW","Aruba","2020-03-24",0.865771428571428,1,0.92,0.208333333333333,0,0.25147380952381
"85","ABW","Aruba","2020-03-25",0.869266666666666,1,0.94,0.208333333333333,0,0.2456
"86","ABW","Aruba","2020-03-26",0.889066666666667,1,0.96,0.208333333333333,0,0.23565
"87","ABW","Aruba","2020-03-27",0.8968,1,0.88,0.208333333333333,0.0445777630812352,0.286984308291474
"88","ABW","Aruba","2020-03-28",0.91712,1,0.964,0.208333333333333,0,0.227636666666667
"89","ABW","Aruba","2020-03-29",0.927832380952381,1,0.976,0.208333333333333,0,0.221958571428571
"90","ABW","Aruba","2020-03-30",0.933657142857143,1,0.92,0.208333333333333,0,0.234502380952381
"91","ABW","Aruba","2020-03-31",0.948165079365079,1,0.953333333333333,0.208333333333333,0,0.222542063492064
"92","ABW","Aruba","2020-04-01",0.958420634920635,1,0.873333333333333,0.208333333333333,0.0655728239931555,0.289814951990877
"93","ABW","Aruba","2020-04-02",0.958666666666667,1,0.88,0.208333333333333,0.0445777630812352,0.272207111027131
"94","ABW","Aruba","2020-04-03",0.95915873015873,1,0.893333333333333,0.208333333333333,0.00258764125739437,0.236773730313277
"95","ABW","Aruba","2020-04-04",0.958912698412698,1,0.886666666666667,0.208333333333333,0.0235827021693145,0.254526703801264
"96","ABW","Aruba","2020-04-05",0.958666666666667,1,0.88,0.208333333333333,0.0445777630812352,0.272207111027131
"97","ABW","Aruba","2020-04-06",0.961373015873016,1,0.953333333333333,0.208333333333333,0,0.219240079365079
"98","ABW","Aruba","2020-04-07",0.96193537414966,1,0.968571428571429,0.208333333333333,0,0.215289965986395
"99","ABW","Aruba","2020-04-08",0.961091836734694,1,0.945714285714286,0.208333333333333,0,0.221215136054422
"100","ABW","Aruba","2020-04-09",0.964571428571428,1,0.937142857142857,0.208333333333333,0,0.222488095238095
