"","CountryName","CountryCode","Date","region","PolicyType","PolicyCode","previous_PolicyCode","Notes"
"1","Andorra","AND",2022-03-29,"Europe_Central_Asia","C1: School closing","0","0","no closings noted: https://web.archive.org/web/20220410224926/https://www.educacio.ad/"
"2","Andorra","AND",2022-03-29,"Europe_Central_Asia","C2: Workplace closing","0","0","no closing in place. central hub: https://web.archive.org/web/20220410105308/https://www.govern.ad/coronavirus   https://web.archive.org/web/20220411140320/https://www.govern.ad/images/stories/Coronavirus/PDFs/Evitar_propagacio_Covid19.pdf"
"3","Andorra","AND",2022-03-29,"Europe_Central_Asia","C3: Cancel public events","0","0","""The use of the COVID certificate in social and health centres, day centres and manor houses"" but doesn't state restrictions if you don't have one.   found through portal: https://web.archive.org/web/20220410105308/https://www.govern.ad/coronavirus   https://web.archive.org/web/20220411140320/https://www.govern.ad/images/stories/Coronavirus/PDFs/Evitar_propagacio_Covid19.pdf"
"4","Andorra","AND",2022-03-29,"Europe_Central_Asia","C4: Restrictions on gatherings","0","0","""The use of the COVID certificate in social and health centres, day centres and manor houses"" but doesn't state restrictions if you don't have one.   found through portal: https://web.archive.org/web/20220410105308/https://www.govern.ad/coronavirus   https://web.archive.org/web/20220411140320/https://www.govern.ad/images/stories/Coronavirus/PDFs/Evitar_propagacio_Covid19.pdf"
"5","Andorra","AND",2022-03-29,"Europe_Central_Asia","C5: Close public transport","0","0","none noted https://web.archive.org/web/20220410105308/https://www.govern.ad/coronavirus  https://web.archive.org/web/20220411140320/https://www.govern.ad/images/stories/Coronavirus/PDFs/Evitar_propagacio_Covid19.pdf"
"6","Andorra","AND",2022-03-29,"Europe_Central_Asia","C6: Stay at home requirements","0","0","none noted https://web.archive.org/web/20220410105308/https://www.govern.ad/coronavirus  https://web.archive.org/web/20220411140320/https://www.govern.ad/images/stories/Coronavirus/PDFs/Evitar_propagacio_Covid19.pdf"
"7","Andorra","AND",2022-03-29,"Europe_Central_Asia","C7: Restrictions on internal movement","0","0","""The use of the COVID certificate in social and health centres, day centres and manor houses"" but doesn't state restrictions if you don't have one.   found through portal: https://web.archive.org/web/20220410105308/https://www.govern.ad/coronavirus   https://web.archive.org/web/20220411140320/https://www.govern.ad/images/stories/Coronavirus/PDFs/Evitar_propagacio_Covid19.pdf"
"8","Andorra","AND",2022-03-29,"Europe_Central_Asia","C8: International travel controls","0","0","following EU measures: ""To facilitate safe and free movement within the European Union during the COVID-19 pandemic. Before travelling, you should consult the measures applied by each country where you set your destination. You can consult reopen.europa.eu""  https://web.archive.org/web/20220410105308/https://www.govern.ad/coronavirus  linking to the covid certificate guidance PDF: https://archive.ph/y2TXA"
"9","Andorra","AND",2022-03-29,"Europe_Central_Asia","E1: Income support","0","2G","tracked banking activities ended in 2021 https://archive.ph/B87wz"
"10","Andorra","AND",2022-03-29,"Europe_Central_Asia","E2: Debt/contract relief","0","1","Electricity rates amendments were announced, but no relation in the notice to COVID so left as none. ""These rates and conditions come into force on April 1, 2022.Which is made public for general knowledge. Andorra la Vella, 30th March 2022."" https://archive.ph/cF2nW  https://archive.ph/cF2nW"
"11","Andorra","AND",2022-03-29,"Europe_Central_Asia","H1: Public information campaigns","2T","2G","no change: https://web.archive.org/web/20220410105308/https://www.govern.ad/coronavirus"
"12","Andorra","AND",2022-03-29,"Europe_Central_Asia","H2: Testing policy","3","3","tracked in portal https://web.archive.org/web/20220410105308/https://www.govern.ad/coronavirus  Many of nationally-certified private clinical analysis laboratories perform PCR and RAT diagnostic tests. Any tourist or visitor who needs to have a TMA or RAT COVID-19 diagnostic test can request one at the Government STOP-LABs equipped for this purpose. https://archive.ph/lqLSn"
"13","Andorra","AND",2022-03-29,"Europe_Central_Asia","H3: Contact tracing","2","2","Notify your close contacts immediately so they can get tested for COVID-19 and they can take protective measures. Close contacts are considered to be everyone youâve spent time with in an enclosed space without wearing a face mask for more than 15 minutes in the last 48 hours before the onset of symptoms or taking the test with a positive result.  https://archive.ph/lqLSn#selection-3379.0-3383.322"
"14","Andorra","AND",2022-03-29,"Europe_Central_Asia","H6: Facial Coverings","2G","2G","recommendations in general https://web.archive.org/web/20220411140320/https://www.govern.ad/images/stories/Coronavirus/PDFs/Evitar_propagacio_Covid19.pdf  It is not necessary to wear a mask in enclosed spaces for public use, either on public roads or in open spaces.  It will only continue to be mandatory for access to hospitals, health centers and social and health centers (surgical masks and FFP2). https://archive.ph/UPJjL"
"15","Andorra","AND",2022-03-29,"Europe_Central_Asia","H7: Vaccination policy","5G","5G","16 & under not being vaccinated, otherwise widely available. https://archive.ph/WD5JT  & https://archive.ph/eF3Z2 for the pdf"
"16","Andorra","AND",2022-03-29,"Europe_Central_Asia","H8: Protection of elderly people","1T","1G","no changes: https://web.archive.org/web/20220411140052/https://www.govern.ad/recomanacions"
"17","Austria","AUT",2022-04-04,"Europe_Central_Asia","C1: School closing","2T","2T","How are the current, far-reaching easing of restrictions affecting university and college operations?  Not directly. Because the universities and colleges remain exempt from the general health law requirements and thus also from the current Corona Basic Measures Ordinance . However, they offer an important orientation for the individual and independent definition of those corona measures that the universities and colleges take independently and independently within the framework of their autonomy. These vary from university to university and from college to college.    This is also the reason why universities and colleges currently have different forms of access regulations (2.5G, 3G regulation or none at all) depending on their situation-specific requirements and why the handling of a mask requirement is quite different. In view of the general lifting of most restrictions, universities and colleges are also considering whether they should relax their corona measures even further, while also monitoring the epidemiological situation. In any case, the recommendation to wear an FFP2 mask in closed rooms remains.    Therefore, please find out from your respective university or college which corona measures must be observed at their locations.    Sources:   https://archive.ph/j9rGq [Coronavirus (COVID-19): Frequently asked questions and answers (FAQ) in the university and college sector]  https://archive.ph/FKBQD [5-point plan for getting back to normal at universities and colleges]"
"18","Austria","AUT",2022-04-16,"Europe_Central_Asia","C1: School closing","2T","2T","Educational field    Tests or evidence of a low epidemiological risk  Schools are open to anyone who needs them. If students are in the school building, they must carry out antigen or PCR tests at least twice a week (once a week from April 19). If the test intervals are observed, the test result is also valid on the sixth and seventh day after the first test.    Mask requirement  â¢	In the generally accessible areas of the school building or in homes (e.g. corridors), teachers and administrative staff as well as external persons are still required to wear FFP2 masks.  â¢	The FFP2 mask requirement in classrooms and group rooms and teachers' and conference rooms for teachers and administrative staff as well as for external persons with proof of a low epidemiological risk (vaccinated, recovered or tested) is no longer applicable.  â¢	Outside the classrooms and group rooms, students up to the 8th grade wear an MNS and students from the 9th grade wear an FFP2 mask.  â¢	A mask does not have to be worn in physical education classes, in movement-oriented classes in the classroom or in dormitories.    For further binding regulations see  COVID-19 School Ordinance 2021/22  and its amendment as well as  COVID-19 Higher Education Act.    Sources:  https://archive.ph/WGqni [Coronavirus: Aktuelle MaÃnahmen]  https://archive.ph/LEl7E [Nationwide measures]"
"19","Austria","AUT",2022-03-28,"Europe_Central_Asia","C2: Workplace closing","2G","2G","At work  The FFP2 mask obligation applies when entering work places in closed rooms,  â¢	unless physical contact with people from outside the household is excluded, or  â¢	the risk of infection can be minimized by other suitable protective measures (in particular technical protective measures such as the installation of partitions or plexiglass walls).  â¢	The FFP2 mask requirement also applies to entering external workplaces, with the exception of those in your own private living area.  â¢	In justified cases, stricter regulations that go beyond the legal requirements can be made to prevent the further spread of COVID-19.    **Health and social sector**  Mobile care and support services  â¢	Mobile care and support service providers may only enter external workplaces if they can show proof of a low epidemiological risk (vaccinated, recovered or tested) and wear an FFP2 mask when in contact with customers.    Hospitals and health resorts and other places where health services are provided  The FFP2 mask requirement generally applies to patients, accompanying persons, visitors, operators, employees and service providers. unless the risk of infection can be minimized by other suitable protective measures.    The following also applies to visitors:  â¢	Visitors and accompanying persons must present proof of 3G (vaccinated, recovered or tested).  â¢	A 2.5G proof is valid for accompanying persons during examinations during pregnancy, as well as for accompanying patients in need of support.  â¢	This does not apply to accompanying persons in the event of childbirth, persons accompanying or visiting underage patients, as well as visits to palliative care and hospice patients, for pastoral care and to accompany critical life events.    The following also applies to employees:   â¢	Operators may only let employees in if they present proof of 3G (vaccinated, recovered or tested).  â¢	This also applies to external service providers, residents' representatives, patient, disabled and nursing advocates, nursing supervisory bodies or members of established commissions.  In principle, the planned measures must not be disproportionate or lead to unreasonable hardship.    Retirement and nursing homes as well as inpatient residential facilities for the disabled  In general, the FFP2 mask requirement applies to visitors, accompanying persons, employees, external service providers and residents (in places that do not belong to their own living area).    The following also applies to visitors:  â¢	Operators may only admit visitors and accompanying persons if they present proof of 3G (vaccinated, recovered or tested).  â¢	Excluded from this are persons accompanying underage residents of inpatient residential facilities for the disabled, as well as for visits by palliative and hospice patients, for pastoral care and to accompany critical life events.    The following also applies to residents:  â¢	3G proof (vaccinated, recovered or tested) must be presented for new admissions.  â¢	Residents can be offered an antigen test or PCR test by operators at least every seven days, and if they have left the home within this period, at least every three days.    The following also applies to employees:   â¢	Operators may only let employees in if they present proof of 3G (vaccinated, recovered or tested).  â¢	This also applies to external service providers, residents' representatives, patient, disabled and nursing advocates, nursing supervisory bodies or members of established commissions.  In principle, the planned measures must not be disproportionate or lead to unreasonable hardship.    VIENNA  **Clubs and discos**  There is no longer a curfew, night gastronomy is allowed to open again. The 2G rule applies here too. An FFP2 mask requirement only applies to staff.  However, FFP2 masks are still mandatory for customers when picking up food.     **Pubs, cafes and restaurants**  Restaurants and cafes are open. The 2G rule still applies here. Operators must also present and implement a prevention concept. The FFP2 mask requirement applies to guests away from the tables and to staff in general.  When picking up food, customers are required to wear a mask.    Sources:  https://web.archive.org/web/20220328190403/https://corona-ampel.gv.at/aktuelle-massnahmen/bundesweite-massnahmen/  https://web.archive.org/web/20220328163936/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html  https://web.archive.org/web/20220328195250/https://coronavirus.wien.gv.at/oeffentliches-leben/"
"20","Austria","AUT",2022-04-04,"Europe_Central_Asia","C2: Workplace closing","2G","2G","At work  The FFP2 mask obligation applies when entering work places in closed rooms,  â¢	unless physical contact with people from outside the household is excluded, or  â¢	the risk of infection can be minimized by other suitable protective measures (in particular technical protective measures such as the installation of partitions or plexiglass walls).  â¢	The FFP2 mask requirement also applies to entering external workplaces, with the exception of those in your own private living area.  â¢	In justified cases, stricter regulations that go beyond the legal requirements can be made to prevent the further spread of COVID-19.    **Health and social sector**  Mobile care and support services  â¢	Mobile care and support service providers may only enter external workplaces if they can show proof of a low epidemiological risk (vaccinated, recovered or tested) and wear an FFP2 mask when in contact with customers.    Hospitals and health resorts and other places where health services are provided  The FFP2 mask requirement generally applies to patients, accompanying persons, visitors, operators, employees and service providers. unless the risk of infection can be minimized by other suitable protective measures.    The following also applies to employees:   â¢	Operators may only let employees in if they present proof of 3G (vaccinated, recovered or tested).  â¢	This also applies to external service providers, residents' representatives, patient, disabled and nursing advocates, nursing supervisory bodies or members of established commissions.  In principle, the planned measures must not be disproportionate or lead to unreasonable hardship.    Retirement and nursing homes as well as inpatient residential facilities for the disabled  In general, the FFP2 mask requirement applies to visitors, accompanying persons, employees, external service providers and residents (in places that do not belong to their own living area).  The following also applies to employees:   â¢	Operators may only let employees in if they present proof of 3G (vaccinated, recovered or tested).  â¢	This also applies to external service providers, residents' representatives, patient, disabled and nursing advocates, nursing supervisory bodies or members of established commissions.  In principle, the planned measures must not be disproportionate or lead to unreasonable hardship.    **COVID-19 officer and COVID-19 prevention concept**  Operators and owners of the following areas must appoint a COVID-19 officer and develop and implement a COVID-19 prevention concept:  â¢	cable cars and cog railways,  â¢	Coaches and excursion boats in occasional traffic,  â¢	Business premises with customer areas,  â¢	non-public sports facilities and leisure facilities,  â¢	workplaces with more than 51 employees,  â¢	Retirement and nursing homes as well as residential facilities for the disabled and  â¢	hospitals or sanatoriums    The COVID-19 prevention concept is a state-of-the-art concept for minimizing the risk of infection with SARS-CoV-2. A data protection-compliant system for the traceability of contacts, such as a system for recording the presence on a voluntary basis of visitors or accompanying persons and external service providers, can also be included for old people's and nursing homes as well as inpatient residential facilities for the disabled as well as for hospitals and spa facilities.    Sources:  https://archive.ph/nVGXS [Nationwide measures]  https://archive.ph/94mKv [Coronavirus: current measures]"
"21","Austria","AUT",2022-04-16,"Europe_Central_Asia","C2: Workplace closing","2G","2G","At work  The FFP2 mask obligation applies when entering workplaces in closed rooms,  â¢	unless physical contact with people from outside the household is excluded, or  â¢	the risk of infection can be minimized by other suitable protective measures (in particular technical protective measures such as the installation of partitions or plexiglass walls).  â¢	The FFP2 mask requirement also applies to entering external workplaces, with the exception of those in your own private living area.  â¢	In justified cases, stricter regulations that go beyond the legal requirements can be made to prevent the further spread of COVID-19.    Customer areas  The FFP2 mask requirement applies when entering customer areas in all retail establishments and when using services.    3 G rule:  3-G proof only has to be provided by visitors, employees and service providers in hospitals, old peopleâs and nursing homes and comparable settings.    Hospitals and nursing homes in Vienna  â¢	Visitors are still required to carry out a PCR test and wear an FFP2 mask.  â¢	3 visitors are allowed in hospitals per day and patient.  â¢	For support services, one additional person is allowed for patients in need of support.  â¢	There are no visitor restrictions in the nursing homes.  â¢	2G is no longer required in both the hospitals and the nursing homes.  â¢	Employees in hospitals and nursing homes still need 2.5 G (vaccinated, recovered or PCR test), in addition there is a PCR screening twice a week.    Sources:  https://archive.ph/WGqni [Coronavirus: Aktuelle MaÃnahmen]  https://archive.ph/LEl7E [Nationwide measures]  https://archive.ph/V1rio [Vienna]"
