countryname,cases_controlled,test_and_trace,high_vulnerability,workplace_prevention,manage_imported_cases,community_understanding,overall_checklist
Dominica,1.0,0.8,,,1.0,,0.9
Fiji,1.0,1.0,,,1.0,0.7,0.9
Bhutan,1.0,0.7,,,1.0,,0.9
Gambia,1.0,0.6,,,1.0,,0.9
Brunei,1.0,0.6,,,1.0,,0.9
Guyana,0.9,0.6,,,1.0,,0.8
Trinidad and Tobago,1.0,0.6,,,1.0,0.8,0.8
New Zealand,1.0,0.9,,,0.8,0.7,0.8
Belize,1.0,0.6,,,1.0,0.7,0.8
Cyprus,0.9,0.8,,,0.8,,0.8
Jordan,1.0,0.6,,,1.0,0.7,0.8
Timor-Leste,1.0,0.7,,,0.8,,0.8
Sierra Leone,0.7,0.7,,,1.0,,0.8
Mauritius,1.0,0.5,,,1.0,0.7,0.8
Taiwan,1.0,0.8,,,0.8,0.7,0.8
Malaysia,0.8,0.9,,,0.8,0.7,0.8
Thailand,0.9,0.8,,,0.8,0.7,0.8
Uganda,0.8,0.7,,,1.0,0.7,0.8
Myanmar,0.9,0.8,,,0.8,0.7,0.8
South Sudan,1.0,0.3,,,1.0,,0.8
Georgia,0.9,0.4,,,1.0,,0.8
Vietnam,1.0,0.8,,,0.8,0.6,0.8
Macao,1.0,0.3,,,0.8,1.0,0.8
Cape Verde,0.5,0.8,,,1.0,0.8,0.8
Djibouti,0.5,0.8,,,1.0,,0.8
Vanuatu,,0.5,,,1.0,,0.7
Barbados,1.0,0.7,,,0.5,0.8,0.7
Mali,0.8,0.6,,,1.0,0.6,0.7
Lithuania,0.9,0.9,,,0.5,0.7,0.7
Togo,0.9,0.7,,,0.8,0.7,0.7
Norway,0.9,0.7,,,0.8,0.6,0.7
Tunisia,0.8,0.7,,,0.8,,0.7
Hong Kong,0.4,0.9,,,1.0,0.6,0.7
Latvia,0.9,0.9,,,0.5,0.7,0.7
Eritrea,1.0,0.5,,,0.8,,0.7
Hungary,0.9,0.7,,,0.8,0.6,0.7
Chad,1.0,0.2,,,1.0,,0.7
Mongolia,1.0,0.3,,,1.0,0.5,0.7
Denmark,0.7,0.9,,,0.8,0.5,0.7
China,0.9,0.5,,,0.8,,0.7
Seychelles,0.9,0.4,,,0.8,,0.7
Uruguay,0.9,0.6,,,0.5,0.8,0.7
Iceland,0.9,0.8,,,0.5,0.6,0.7
Rwanda,0.3,0.9,,,1.0,0.5,0.7
Niger,1.0,0.2,,,1.0,0.6,0.7
Laos,1.0,0.6,,,0.5,0.7,0.7
Burkina Faso,0.9,0.3,,,1.0,0.6,0.7
Mozambique,0.5,0.6,,,1.0,0.5,0.7
Ireland,0.7,0.7,,,0.5,0.8,0.7
Finland,0.9,0.5,,,0.5,0.7,0.7
Estonia,0.9,0.5,,,0.5,0.7,0.7
Burundi,1.0,0.2,,,0.8,,0.7
Greenland,,0.8,,,0.5,,0.6
Somalia,0.8,0.1,,,1.0,,0.6
Morocco,0.0,0.7,,,1.0,0.8,0.6
Cambodia,1.0,0.3,,,0.5,0.8,0.6
Philippines,0.0,0.7,,,1.0,0.8,0.6
Papua New Guinea,1.0,0.4,,,0.5,0.6,0.6
Andorra,1.0,0.4,,,0.5,,0.6
Slovenia,0.6,0.8,,,0.5,0.6,0.6
El Salvador,0.0,0.7,,,1.0,0.8,0.6
Australia,0.0,0.9,,,1.0,0.5,0.6
Cuba,0.8,0.7,,,0.2,,0.6
Slovak Republic,0.6,0.7,,,0.5,0.5,0.6
Suriname,0.6,0.2,,,1.0,,0.6
Jamaica,0.9,0.5,,,0.2,0.7,0.6
San Marino,1.0,0.8,,,0.0,,0.6
Kuwait,0.0,0.6,,,1.0,0.8,0.6
